#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
podcastindex.social,suspend,false,false,noagenda affiliated,false
poa.st,suspend,false,false,Discrimination,false
sneak.berlin,suspend,false,false,privacy violation,false
sneed.social,suspend,false,false,"Discrimination, racism, “free speech zone”, nationalism, hate speech",false
soc.ua-fediland.de,suspend,false,false,Spam,false
social.ancreport.com,suspend,false,false,"Discrimination, racism, “free speech zone”",false
social.teci.world,suspend,false,false,"Discrimination, racism, “free speech zone”",false
social.urspringer.de,suspend,false,false,"Conspiracy, CoVid19 denier",false
socnet.supes.com,suspend,false,false,Right wing “free speech zone”,false
solagg.com,suspend,false,false,Scammers,false
spinster.xyz,suspend,false,false,"Discrimination, TERFs",false
tastingtraffic.net,suspend,false,false,Homophobia,false
threads.net,suspend,false,false,"Transphobia, lack of moderation",false
truthsocial.co.in,suspend,false,false,Alt-right trolls,false
twitter.doesnotexist.club,suspend,false,false,Twitter crossposter,false
twtr.plus,suspend,false,false,Twitter crossposter,false
pleroma.rareome.ga,suspend,false,false,"Doesn’t respect blocks or status privacy, lolicons",false
wolfgirl.bar,suspend,false,false,"Discrimination, homophobia, unmoderated trolling",false
varishangout.net,suspend,false,false,"Transphobia and racism go unmoderated, aggressive trolling",false
sleepy.cafe,suspend,false,false,"Racism, harassment",false
skippers-bin.com,suspend,false,false,"Same admin as neckbeard.xyz, same behaviour",false
shota.house,suspend,false,false,Lolicon,false
shitpost.cloud,suspend,false,false,"“Free speech zone”, antisemitism",false
seal.cafe,suspend,false,false,"Discrimination, racism, “free speech zone”",false
ryona.agency,suspend,false,false,"Alt-right trolls, harassment",false
rojogato.com,suspend,false,false,"Harassment, “free speech zone”",false
repl.co,suspend,false,false,Spam,false
rdrama.cc,suspend,false,false,"Discrimination, “free speech zone”, racism",false
rapemeat.solutions,suspend,false,false,Lolicon and also: the domain name,false
qoto.org,suspend,false,false,"“free speech zone”, harassment",false
poster.place,suspend,false,false,"Discrimination, racism, “free speech zone”",false
pleroma.nobodyhasthe.biz,suspend,false,false, Doxxing and discrimination,false
pleroma.narrativerry.xyz,suspend,false,false,"Discrimination, racism, “free speech zone”",false
pleroma.kitsunemimi.club,suspend,false,false,Discrimination,false
play.xmr.101010.pl,suspend,false,false,Cryptomining,false
pl.tkammer.de,suspend,false,false,Transphobia,false
pl.serialmay.link,suspend,false,false," Racism, transphobia",false
pieville.net,suspend,false,false,"Racism, antisemitism",false
pkteerium.xyz,suspend,false,false,"Discrimination, “free speech zone”",false
pedo.school,suspend,false,false,Pedophilia,false
paypig.org,suspend,false,false,Racism,false
pawoo.net,suspend,false,false,"Unwanted follow bots, lolicon",false
ohai.su,suspend,false,false,Offline,false
ns.auction,suspend,false,false,Racism etc,false
noagendatube.com,suspend,false,false,"“free speech zone”, harassment",false
noagendasocial.nl,suspend,false,false," “free speech zone”, harassment",false
noagendasocial.com,suspend,false,false,"“free speech zone”, harassment",false
nnia.space,suspend,false,false,Pedophilia,false
nicecrew.digital,suspend,false,false,"Discrimination, racism, “free speech zone”",false
newjack.city,suspend,false,false,Exclusive to unwanted follow bots,false
natehiggers.online,suspend,false,false,Racism,false
misskey-forkbomb.cf,suspend,false,false,Spam,false
midnightride.rs,suspend,false,false,Discrimination,false
mastodon.popps.org,suspend,false,false,Homophobia,false
mastinator.com,suspend,false,false,"Block evasion, unwanted profile mirroring",false
lolison.top,suspend,false,false,"Lolicon, paedophilia",false
lolicon.rocks,suspend,false,false,Lolicon,false
libre.tube,suspend,false,false,Promotion of violence and murder,false
gab.ai,suspend,false,false,"Discrimination, racism, “free speech zone”",false
yggdrasil.social,suspend,false,false,Their rules: “No LGBTQ. Period. No homosexuality. No men who...,false
develop.gab.com,suspend,false,false,"Discrimination, racism, “free speech zone”",false
social.lovingexpressions.net,suspend,false,false,Transphobia,false
tube.kenfm.de,suspend,false,false,Right-wing conspiracy videos,false
tube.querdenken-711.de,suspend,false,false,Right-wing conspiracy videos,false
tweet.pasture.moe,suspend,false,false,Twitter crossposter,false
tweetbridge.kogasa.de,suspend,false,false,Twitter crossposter,false
tweets.icu,suspend,false,false,Twitter crossposter,false
twitter.activitypub.actor,suspend,false,false,Twitter crossposter,false
twitter.piriklub.eu,suspend,false,false,Twitter crossposter,false
twitterbridge.jannis.rocks,suspend,false,false, Twitter crossposter,false
wiki-tube.de,suspend,false,false,Right-wing conspiracy videos (Querdenken and KenFM),false
shortstackran.ch,suspend,false,false,"Racism, homophobia, “free speech zone”",false
shitposter.club,suspend,false,false,“Free speech zone”,false
myxoz.port0.org,suspend,false,false,Spam,false
mstdn.foxfam.club,suspend,false,false,Right wing twitter mirror,false
mostr.pub,suspend,false,false,"Lack of modertion, scammers",false
morale.ch,suspend,false,false,Antisemitism and more,false
meta-tube.de,suspend,false,false,"Conspiracy, CoVid19 denier videos ",false
mastodong.lol,suspend,false,false,Admin maintains and runs activitypub-proxy.cf,false
mastodon.network,suspend,false,false,"Instance went down, now porn spam",false
liberdon.com,suspend,false,false,"Conspiracy theories, transphobia, racism",false
lgbtfree.zone,suspend,false,false,"Racism, transphobia",false
kiwifarms.cc,suspend,false,false,Discrimination,false
kenfm.quadplay.tv,suspend,false,false,Conspiracy videos,false
jaeger.website,suspend,false,false,"Discrimination, racism, “free speech zone”",false
itmslaves.com,suspend,false,false,"“free speech zone”, noagenda affiliated",false
iddqd.social,suspend,false,false," Discrimination, racism, “free speech zone”",false
iamterminally.online,suspend,false,false,"Discrimination, racism, “free speech zone”",false
honkwerx.tech,suspend,false,false,Racism,false
glowers.club,suspend,false,false,"Discrimination, racism, “free speech zone”",false
glindr.org,suspend,false,false,Discrimination,false
gleasonator.com,suspend,false,false," Transphobia, TERFs",false
gitmo.life,suspend,false,false,“free speech zone”,false
genderheretics.xyz,suspend,false,false,Tagline: “Now With 41% More Misgendering!”,false
gegenstimme.tv,suspend,false,false,“free speech zone”,false
gateway.occm.cc,suspend,false,false, Twitter crossposter,false
gameliberty.club,suspend,false,false, “free speech zone”,false
frennet.link,suspend,false,false,"Discrimination, racism, “free speech zone”",false
freespeechextremist.com,suspend,false,false,"Discrimination, racism, “free speech zone”",false
freefedifollowers.ga,suspend,false,false, Follower spam,false
freecumextremist.com,suspend,false,false,"Discrimination, racism, “free speech zone”",false
freeatlantis.com,suspend,false,false,Conspiracy theory instance,false
freak.university,suspend,false,false,Pedophilia,false
f.haeder.net,suspend,false,false,Discrimination,false
eveningzoo.club,suspend,false,false,"Discrimination, racism, “free speech zone”",false
eientei.org,suspend,false,false,"Racism, antisemitism",false
detroitriotcity.com,suspend,false,false,"Discrimination, racism, “free speech zone”",false
daishouri.moe,suspend,false,false,"Fascism, openly advertises with swastika",false
cum.salon,suspend,false,false," Misogynic, pedophilia",false
cum.camp,suspend,false,false,Harassment,false
comfyboy.club,suspend,false,false," Discrimination, racism",false
clube.social,suspend,false,false,Harassment,false
clubcyberia.co,suspend,false,false,Homophobia,false
boks.moe,suspend,false,false,Harassment,false
club.darknight-coffee.eu,suspend,false,false,“free speech zone”,false
chudbuds.lol,suspend,false,false,"Discrimination, racism, “free speech zone”",false
childpawn.shop,suspend,false,false,Pedophilia,false
cawfee.club,suspend,false,false,"Discrimination, racism, “free speech zone”",false
bsite.spiderden.net,suspend,false,false,Twitter crossposter,false
brighteon.social,suspend,false,false,“free speech zone”,false
bridge.yopp.me,suspend,false,false,Twitter crossposter,false
bridge.birb.space,suspend,false,false,Twitter crossposter,false
birdsitelive.treffler.cloud,suspend,false,false,Twitter crossposter,false
birdsitelive.peanutlasko.com,suspend,false,false,Twitter crossposter,false
birdsitelive.kevinyank.com,suspend,false,false, Twitter crossposter,false
birdsitelive.ffvo.dev,suspend,false,false,Twitter crossposter,false
birdsite.wilde.cloud,suspend,false,false,Twitter crossposter,false
birdsite.toot.si,suspend,false,false,Twitter crossposter,false
birdsite.thorlaksson.com,suspend,false,false,Twitter crossposter,false
birdsite.tcjc.uk,suspend,false,false,Twitter crossposter,false
birdsite.slashdev.space,suspend,false,false,Twitter crossposter,false
birdsite.platypush.tech,suspend,false,false,Twitter crossposter,false
birdsite.oliviaappleton.com,suspend,false,false,Twitter crossposter,false
birdsite.monster,suspend,false,false,Twitter crossposter,false
birdsite.link,silence,false,false,Twitter crossposter,false
birdsite.lakedrops.com,suspend,false,false, Twitter crossposter,false
birdsite.koyu.space,suspend,false,false,Twitter crossposter,false
birdsite.james.moody.name,suspend,false,false,Twitter crossposter,false
birdsite.gabeappleton.me,suspend,false,false,Twitter crossposter,false
birdsite.frog.fashion,suspend,false,false,Twitter crossposter,false
birdsite.blazelights.dev,suspend,false,false,Twitter crossposter,false
birdsite.b93.dece.space,suspend,false,false, Twitter crossposter,false
birdbots.leptonics.com,suspend,false,false,Twitter crossposter,false
bird.seafoam.space,suspend,false,false,Twitter crossposter,false
bird.r669.live,suspend,false,false,Twitter crossposter,false
bird.nzbr.de,suspend,false,false,Twitter crossposter,false
bird.makeup,suspend,false,false,Twitter crossposter,false
bird.karatek.net,suspend,false,false,Twitter crossposter,false
bird.istheguy.com,suspend,false,false,Twitter crossposter,false
bird.im-in.space,suspend,false,false,Twitter crossposter,false
bird.geiger.ee,suspend,false,false,Twitter crossposter,false
bird.froth.zone,suspend,false,false,Twitter crossposter,false
bird.evilcyberhacker.net,suspend,false,false,Twitter crossposter,false
birb.stream,suspend,false,false,Twitter crossposter,false
birb.elfenban.de,suspend,false,false,Twitter crossposter,false
beta.mstdn.cf,suspend,false,false,Twitter crossposter,false
beta.birdsite.live,suspend,false,false,Twitter crossposter,false
beefyboys.win,suspend,false,false,"Discrimination, racism, “free speech zone”",false
beefyboys.club,suspend,false,false,"Discrimination, racism, “free speech zone”",false
banepo.st,suspend,false,false,Homophobia,false
baraag.net,suspend,false,false,Lolicon,false
bae.st,suspend,false,false,"Discrimination, racism, “free speech zone”",false
aethy.com,suspend,false,false,Lolicon,false
activitypub-troll.cf,suspend,false,false,Spam,false
activitypub-proxy.cf,suspend,false,false,Only exists to evade instance blocks,false
#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
podcastindex.social,suspend,false,false,noagenda affiliated,false
poa.st,suspend,false,false,Discrimination,false
sneak.berlin,suspend,false,false,privacy violation,false
sneed.social,suspend,false,false,"Discrimination, racism, “free speech zone”, nationalism, hate speech",false
soc.ua-fediland.de,suspend,false,false,Spam,false
social.ancreport.com,suspend,false,false,"Discrimination, racism, “free speech zone”",false
social.teci.world,suspend,false,false,"Discrimination, racism, “free speech zone”",false
social.urspringer.de,suspend,false,false,"Conspiracy, CoVid19 denier",false
socnet.supes.com,suspend,false,false,Right wing “free speech zone”,false
solagg.com,suspend,false,false,Scammers,false
spinster.xyz,suspend,false,false,"Discrimination, TERFs",false
tastingtraffic.net,suspend,false,false,Homophobia,false
threads.net,suspend,false,false,"Transphobia, lack of moderation",false
truthsocial.co.in,suspend,false,false,Alt-right trolls,false
twitter.doesnotexist.club,suspend,false,false,Twitter crossposter,false
twtr.plus,suspend,false,false,Twitter crossposter,false
pleroma.rareome.ga,suspend,false,false,"Doesn’t respect blocks or status privacy, lolicons",false
wolfgirl.bar,suspend,false,false,"Discrimination, homophobia, unmoderated trolling",false
varishangout.net,suspend,false,false,"Transphobia and racism go unmoderated, aggressive trolling",false
sleepy.cafe,suspend,false,false,"Racism, harassment",false
skippers-bin.com,suspend,false,false,"Same admin as neckbeard.xyz, same behaviour",false
shota.house,suspend,false,false,Lolicon,false
shitpost.cloud,suspend,false,false,"“Free speech zone”, antisemitism",false
seal.cafe,suspend,false,false,"Discrimination, racism, “free speech zone”",false
ryona.agency,suspend,false,false,"Alt-right trolls, harassment",false
rojogato.com,suspend,false,false,"Harassment, “free speech zone”",false
repl.co,suspend,false,false,Spam,false
rdrama.cc,suspend,false,false,"Discrimination, “free speech zone”, racism",false
rapemeat.solutions,suspend,false,false,Lolicon and also: the domain name,false
qoto.org,suspend,false,false,"“free speech zone”, harassment",false
poster.place,suspend,false,false,"Discrimination, racism, “free speech zone”",false
pleroma.nobodyhasthe.biz,suspend,false,false, Doxxing and discrimination,false
pleroma.narrativerry.xyz,suspend,false,false,"Discrimination, racism, “free speech zone”",false
pleroma.kitsunemimi.club,suspend,false,false,Discrimination,false
play.xmr.101010.pl,suspend,false,false,Cryptomining,false
pl.tkammer.de,suspend,false,false,Transphobia,false
pl.serialmay.link,suspend,false,false," Racism, transphobia",false
pieville.net,suspend,false,false,"Racism, antisemitism",false
pkteerium.xyz,suspend,false,false,"Discrimination, “free speech zone”",false
pedo.school,suspend,false,false,Pedophilia,false
paypig.org,suspend,false,false,Racism,false
pawoo.net,suspend,false,false,"Unwanted follow bots, lolicon",false
ohai.su,suspend,false,false,Offline,false
ns.auction,suspend,false,false,Racism etc,false
noagendatube.com,suspend,false,false,"“free speech zone”, harassment",false
noagendasocial.nl,suspend,false,false," “free speech zone”, harassment",false
noagendasocial.com,suspend,false,false,"“free speech zone”, harassment",false
nnia.space,suspend,false,false,Pedophilia,false
nicecrew.digital,suspend,false,false,"Discrimination, racism, “free speech zone”",false
newjack.city,suspend,false,false,Exclusive to unwanted follow bots,false
natehiggers.online,suspend,false,false,Racism,false
misskey-forkbomb.cf,suspend,false,false,Spam,false
midnightride.rs,suspend,false,false,Discrimination,false
mastodon.popps.org,suspend,false,false,Homophobia,false
mastinator.com,suspend,false,false,"Block evasion, unwanted profile mirroring",false
lolison.top,suspend,false,false,"Lolicon, paedophilia",false
lolicon.rocks,suspend,false,false,Lolicon,false
libre.tube,suspend,false,false,Promotion of violence and murder,false
gab.ai,suspend,false,false,"Discrimination, racism, “free speech zone”",false
yggdrasil.social,suspend,false,false,Their rules: “No LGBTQ. Period. No homosexuality. No men who...,false
develop.gab.com,suspend,false,false,"Discrimination, racism, “free speech zone”",false
social.lovingexpressions.net,suspend,false,false,Transphobia,false
tube.kenfm.de,suspend,false,false,Right-wing conspiracy videos,false
tube.querdenken-711.de,suspend,false,false,Right-wing conspiracy videos,false
tweet.pasture.moe,suspend,false,false,Twitter crossposter,false
tweetbridge.kogasa.de,suspend,false,false,Twitter crossposter,false
tweets.icu,suspend,false,false,Twitter crossposter,false
twitter.activitypub.actor,suspend,false,false,Twitter crossposter,false
twitter.piriklub.eu,suspend,false,false,Twitter crossposter,false
twitterbridge.jannis.rocks,suspend,false,false, Twitter crossposter,false
wiki-tube.de,suspend,false,false,Right-wing conspiracy videos (Querdenken and KenFM),false
shortstackran.ch,suspend,false,false,"Racism, homophobia, “free speech zone”",false
shitposter.club,suspend,false,false,“Free speech zone”,false
myxoz.port0.org,suspend,false,false,Spam,false
mstdn.foxfam.club,suspend,false,false,Right wing twitter mirror,false
mostr.pub,suspend,false,false,"Lack of modertion, scammers",false
morale.ch,suspend,false,false,Antisemitism and more,false
